text,sentiment 
iDid it and now my iPhone is as good as new!,pos
UPDATED: Peeling and warranty issues,neg
3G glass screen,pos
No,neg
Very satisfied with this product.  Not difficult to install.,pos
Good protection if you can get it on,neg
Recommended,pos
Changing my review!,neg
Very good,pos
very bad,neg
Good,pos
Beware of this phone and Beware of replacement phones,neg
Very handy set of tools for the ipod system,pos
.,neg
Verizon's best phone - a great combination of the top 3 phones,pos
cell battery,neg
Absolutely Brilliant!,pos
Looked promising...,neg
Jumping Ship From Samsung To LG,pos
Deceptive Battery - Do Not Buy!,neg
"Amazing phone, how can they top this?!",pos
Knockoff / Fake Battery,neg
great charger,pos
Didnt like case or its fit,neg
Works like original,pos
horrible !,neg
Past Tense,pos
Not Well Built!,neg
Ae describbed,pos
Absolute garbage,neg
workd,pos
Yuck,neg
Nice Product,pos
Horrible Quality,neg
worth the price,pos
Total Crap,neg
Works great on lots of products,pos
Beware!!!,neg
Good company to work with.,pos
Didnt work on first day,neg
Love,pos
ummmmph,neg
EXCELLENT!,pos
Received counterfeit unit,neg
great product,pos
Crap,neg
Good backup charger!,pos
Not like it,neg
Mophie Juice Pak Air-Iphone -MIGHT SAVE YOUR LIFE!,pos
Fake Otterbox,neg
Less power than the juice pack but much better form factor,pos
Not what I expected,neg
Protects & doubles battery life. A must-have if you use the video recording/sharing feature often,pos
not purple,neg
Mophie Juice Pack,pos
Counterfeit - DO NOT PURCHASE,neg
Always good,pos
I think I originally got a fake one. All is well now though.,neg
IPHONE MUST HAVE POWER ACCESSORY!  MIGHT JUST SAVE YOUR LIFE!!-CHECK OUT THIS GUY WHO USED IT IN Haiti!!!  A+++++,pos
Expensive junk,neg
Great.,pos
Oily screen issue,neg
More run time,pos
Disappointed!!!,neg
Great,pos
Horrible design,neg
Mophie Juice Pack,pos
Too big - degrades sound quality,neg
Fantastic!,pos
over rated,neg
I love mophie,pos
Ugh,neg
Mophie Juice Pack,pos
go with lifeproof!!!,neg
Five Stars,pos
FAKE,neg
What's NOT to like? The quality I would expect from Motorola.,pos
Soft cover streches over time and gets useless,neg
My first bluetooth.,pos
Otter box defender series iphone4,neg
The best headphones I ever had,pos
Wasn't the best purchase,neg
The best,pos
Broken my 4S,neg
The Best.. The Best.. The Best.. The Best.. The Best,pos
"Sucks, Stay away. Doesn't last.",neg
Best Bluetooth Listening Device I have ever owned!!!,pos
It not any good.,neg
musical magic,pos
Terrible!,neg
"Excellent product, great value!",pos
bad fit,neg
great for the gym!,pos
FAKE FAKE FAKE,neg
Exceeded my expectations! A lot of bang for the buck!,pos
FAKE,neg
"I wanted wireless headphones, got more than that.",pos
diffferent from previous commuter cases,neg
Excelent,pos
It's breaks easy,neg
Great Workout Headphones,pos
Horrible!!!,neg
These far exceeded expectations,pos
It's not even fitting,neg
Perfect work out headset!,pos
DO NOT BUY THE BLACK COMMUTER,neg
Great deal!,pos
Otterbox is destructable,neg
Awesome Product!,pos
bought a fake,neg
As near perfect as I'm likely to find.,pos
wont buy another,neg
my favorite headphones,pos
Poor quaility,neg
All I Hoped For,pos
Not up to past Otterbox quality,neg
Simply Amazing,pos
Fake product,neg
motorola does it again!,pos
Case is ugly,neg
"Perfect, That is what i have been looking for and more",pos
Otterbox is over-rated,neg
Great gift Idea,pos
Still not the best quality,neg
an unknown necessity,pos
"Poor, bad, and awful",neg
You Active - Get These!,pos
Doesn't work. 2 shattered screens.,neg
Love it. I walk around the office with them,pos
otter box commuter,neg
"Awesome, wireless headset.",pos
Worst Case Ever!,neg
On the HTC Thunderbolt Love it,pos
"FAKE, USED, Ripped Packaging! Not Happy",neg
Great BT headphones for a good price!,pos
OtterBox Commuter Series,neg
great,pos
Poor quality,neg
Love them!,pos
100% knockoff,neg
SWEET WIRELESS FREEDOM!!!,pos
Cracked in a month,neg
Love these BT Headphones,pos
Fell apart within weeks,neg
Excellent sound and comfy!!,pos
Bought for my teenage daughter... didn't last,neg
Just what I was looking for,pos
not as good as other otterbox,neg
Great,pos
DIDNT LIKE THE COLOR--TOO BRIGHT!,neg
On my 4th one!,pos
Hated It,neg
"Over 3 years later, still great!",pos
Case is does not fit snug,neg
Bluetooth,pos
SCRATCHES PHONE,neg
Still loving it!,pos
A winner,neg
Great...,pos
Didn't last long,neg
High Quality,pos
Mine did not work with iPhone 4S,neg
Love it,pos
Doesn't work.,neg
Love this,pos
Worthless -- won't make contact/connection for charging without significant manipulation of the cord,neg
So pleased I've bought my wife a set too. Fantastic!,pos
Broken connection...,neg
Great so far with iPhone 3GS; 10 hours streaming stereo,pos
"Strangely difficult install, leaves screen blurry",neg
Finally,pos
Do not buy,neg
Awesome head set.,pos
poor quality,neg
mtorola s305 bluetooth headset,pos
Very Shiny,neg
Awesome!,pos
JUNK & not what it claims to be,neg
Perfect for my Blackberry 9700,pos
Scratched my iPhone... do not buy,neg
Great product for the money,pos
Beware of scratching,neg
Surprised how well they work,pos
Bad Product,neg
"Great Headset, Great Headphones, Great Battery Life",pos
Too hard to get the cards out,neg
AMAZING..That's IT,pos
Not satisfied,neg
Very good B/T Stereo Headset from Motorola,pos
poor design,neg
Perfect Bluetooth Headphones,pos
FAKE,neg
good clear sound,pos
Don't buy it...back surface gets scratches in couple of day of use.,neg
Very Pleased! Awesome For Running,pos
Bad product,neg
"Great product and quality build at a great price, with fast shipping",pos
Not worth it even at this price,neg
would've paid $100 for these,pos
FAKE,neg
Seems to be a good value for the price,pos
"Cheap, maybe even fake",neg
"Excellent way to listen to music & audiobooks, and to talk on the phone",pos
IT WAS PINK NOT RED!,neg
It's Perfect!,pos
lol,neg
Best on-the-ear bluetooth,pos
Did not fit the iPhone,neg
Great bluetooth headphones for runners,pos
SHOCKED!!!!!,neg
Great,pos
Worked for two weeks and stopeed working,neg
she likes them,pos
Doesn't Work,neg
Great headset!!,pos
BROKE ALREADY,neg
Great for the office,pos
Didnt work long,neg
Excellent value,pos
bad,neg
A gift for my husband,pos
Not for MY Galaxy!!!!!,neg
Works well.,pos
Phone plate,neg
Very convenient,pos
Cheap,neg
Extremely Satisfying Audio,pos
Junk iPhone cases but it did come from hong kong,neg
Durable!,pos
Was not good! Didn't Fit!! EmbarrassIng Moment!!,neg
Good quality for Good price,pos
COVER,neg
Use this daily,pos
Plug and Play,neg
Nice Device,pos
"It Works, but Why?",neg
love it,pos
Difficult to use!,neg
Great battery,pos
poor cover,neg
Awesome!!,pos
Cheap,neg
best battery for g1,pos
Didn't fit,neg
Love it,pos
Fits my Verizon model.,neg
good for the price,pos
Jordan,neg
great gadget,pos
Not so bueno.,neg
Perfect replacement charger,pos
Cheap quality,neg
Retractable=no wires!,pos
Doesn't work or fit,neg
works great,pos
One Star,neg
Great!,pos
Not perfect. It is missing an opening in the back for the rear mic!,neg
Does what it does,pos
Really thin,neg
Does what it's supposed to.,pos
Really s***ty,neg
Must have,pos
Durable case but.......,neg
I love this!,pos
Can't Get It Off!,neg
Five Stars,pos
Did not fit my device,neg
great,pos
Take a pass on this one,neg
fancy paper clip,pos
Phone,neg
Eject pin that you can carry on your key chain,pos
Looks Indestructible but any but!,neg
Works perfectly,pos
Just doesn't work.,neg
Thankful,pos
Never worked,neg
This is nothing special,pos
Doesn't Work,neg
Good key.,pos
Doesn't work for extended battery,neg
Are you rich?,pos
RETURNED,neg
very good very good very good very good very good very good very good v very goode very goodry good,pos
Worst thing I have ever purchased,neg
How much can you say about a pin?,pos
No Mobile Hotspot!,neg
Simply good,pos
Android 2.3??? Good Grief!,neg
iPhone Sim Card Tray Open Eject Pin- Compatible for All iPhones,pos
Not much support,neg
works like its supposed to and not expensive,pos
Hidden fees all over the place..........,neg
iPhone Pin,pos
NO,neg
Does as advertised!,pos
I got the Tmobile version of the S ii invisible shield,neg
PIN OPENER For IPHONE,pos
Poor quality product software - did not work with my pc,neg
iPhone SIM Card Tray Open Eject Pin,pos
Does not hold a charge,neg
As advertised,pos
not really good one,neg
Want a Sim Card Tray Pin.... don't want to use a paperclip,pos
Pens not Exactly like the Original S Pen,neg
Handy tool.,pos
Empire Case,neg
"Easy grip, strong SIM card removal tool.",pos
Hate it. Too big.,neg
works,pos
BROKE AFTER 1 USE,neg
Works great,pos
iphone does NOT fit in this!!!!,neg
The iPhone Tray opener,pos
SKIN CASE,neg
What can be wrong?,pos
most horrible case i've ever received from amazon.,neg
Same Quality as Original Apple!!,pos
not what it was described!!!!!,neg
sim card eject tool,pos
Doesn't fit.,neg
Like the original's,pos
One Star,neg
This works!  For lots of things!!,pos
CHEAP QUALITY,neg
Questionable long-term for Droid; Fine iPhone 3GS,pos
CHEEZY.,neg
Amazing item that WORKS. (iPhone 3GS and BBerry 8900),pos
Blahh.,neg
works with 3GS,pos
Don't like how it feels in my hand,neg
Great buy!,pos
Don't.... Just don't!,neg
buy them,pos
Looks are deceiving.,neg
Great value,pos
Not good for the white phone,neg
GREAT,pos
Cover not what I expected,neg
Screen Protectors,pos
Cheap made.,neg
Decent Product,pos
DO NOT BUY,neg
Great Price,pos
Hard Plastic,neg
Works Great with no warning messages on my phone!,pos
defetive,neg
Kelsey,pos
Don't get these,neg
LG EnV3 charger,pos
Not worth the wait ( one month),neg
a nice charger,pos
Never Got This,neg
ordered for daughter,pos
Cheap,neg
Charger,pos
Nonsense of a very high order,neg
ok,pos
didnt like it,neg
Best value - BUY THIS PRODUCT (Read review),pos
Boo!,neg
Magic Mute Button!,pos
ear buds,neg
Headset for PAlm Pre,pos
Waste of time and money,neg
Nice ear phones!,pos
Not good,neg
Very good,pos
Awful,neg
Outstanding clarity - better than Iphone original earphone,pos
dont throw you money away...,neg
Best choice under $4!,pos
Not at all what I had hoped,neg
Give away price for the best earphones I've owned.,pos
TOTAL GARBAGE!!! and TERRIBLE CUSTOMER SERVICE!!!! AVOID!!!!!,neg
Second pair....Lost the first.  These are great!!!!,pos
COMPLETE JUNK!,neg
love love love these,pos
NO GOOD,neg
Just terrific!,pos
junk,neg
"Works great, sounds great, great price",pos
Garbage,neg
Incredible sound!,pos
Not so great,neg
Nice!,pos
Did not fit my Grand daughters samsung,neg
exceptional for the price,pos
horrbile,neg
Great,pos
thie ain't invisisheild and it dont work like invisisheild by zagg!!,neg
"Great headphones for your iPhone, Blackberry or Android phone",pos
Military grade? Dream on..,neg
Good,pos
The HDMI and Micro USB slots didn't fit the phone,neg
Sound great.,pos
not worth the money,neg
Great headset for the price,pos
Not good,neg
iPhone Headset Upgrade,pos
Not impressed,neg
A wonderful accessory for your Palm Pre 2,pos
Disappointing,neg
Awesome dock,pos
disappointed,neg
Excellent for Desk or Car,pos
cheap quality,neg
Great concept,pos
Not for the average consumer,neg
Palm Charging Dock (comes with it's own AC adapter and micro USB plug.),pos
Fake case.,neg
The puck is great - but be sure you have the right parts,pos
Was not what I wanted,neg
Great Charger!,pos
Got a defective case and ruined my phone,neg
Used for wireless charging S3,pos
worst case purchase EVER,neg
everyone wants one,pos
Not Life Proof,neg
THRILLED !!!,pos
Fake!,neg
Touchstone rate,pos
Lifeproof does not cover the damage to phone,neg
Very convenient. I love it.,pos
Discussed,neg
Excellent Innovation,pos
DO NOT BUY!!!,neg
AWESOME DEVICE,pos
RIPOFF,neg
Works great with modified Galaxy S3,pos
Touch screen not to touchy,neg
Makes charging easy.,pos
Fake Lifeproof,neg
Touchstone Review,pos
"So secure, not even sound will reach your phone",neg
Very comfortable,pos
poor quality,neg
A bit expensive but very worth it! (Beware of defective ones though),pos
Not worth the trouble,neg
Free of the wires,pos
Not even worth the the time to return it!,neg
Simple and straight forward,pos
terrible.,neg
Very good,pos
Pretty crappy.,neg
The Easiest Way to Charge Your Pre,pos
Not what I wanted,neg
Best investment for my Pre!,pos
meh thinks not,neg
Touchstone rocks - but be sure you have all the right parts,pos
TO EXPENSIVE TO HAVE BOTH OF THESE  WATERPROOF CASES LEAK PEOPLE COMON,neg
Must have accessory for palm pre owners,pos
Fail to protect my iPhone,neg
Escellent,pos
these cases are fake,neg
Best Pre (or any phone) Accessory,pos
phone calls sounds horrible,neg
Love,pos
Three things they don't tell you about Lifeproof cases,neg
Glad a purchased it,pos
Seemed Fake,neg
Like,pos
IMPOSTER,neg
If you have a Palm,pos
Not worth the money,neg
Great Battery,pos
Knock Off! Contacted Lifeproof with s/n and it's a fake,neg
Nice to have,pos
Not water proof at all,neg
Palm standard battery,pos
Bad experience,neg
as expected,pos
Fake!!!!,neg
PalmPre Battery,pos
Case,neg
Just what the doctor ordered,pos
"No, just no.",neg
Palm Standard Battery,pos
iPhone 5 case,neg
Palm Pre Battery,pos
Worst and most over-priced/hyped case I've owned,neg
Battery excellent,pos
"Waterproof, but a pain.",neg
Works Great.  Would recommend.  Review includes addition add on products.,pos
Edited response,neg
This is a great case,pos
Cheap knockoff of the real thing.  Avoid.,neg
Best sking I've tried,pos
LifeProof Not worth it,neg
Skinomi Palm Pre protector,pos
Volume rocker DOES NOT WORK - Avoid this case,neg
Worth the price,pos
amFilm Premium Screen protector is Junk!,neg
Magic!,pos
Poor quality and not perfectly designed,neg
"Absolutely awesome - not too hard to install, looks better than without",pos
Good concept but clip makes it bulky,neg
"Easy to apply almost invisible results, a great product",pos
poor quality,neg
Best Bluetooth headphone out there,pos
DOA - DEAD ON ARRIVAL,neg
Great product!,pos
Anker sent a 10-minute survey,neg
Perfect self-contained battery charger,pos
Not impressed,neg
Definitely a must buy for smartphone users,pos
False advertisement,neg
Works great,pos
Keeps Stop Charging my Phone. Inconvenient to have to push button to charge,neg
Iphone/Ipad Saver,pos
Failed after some weeks,neg
Very Useful Device,pos
Terrible product,neg
New Trent does it again,pos
Two weeks,neg
Best Portable Charger,pos
Cheap,neg
Great tool for long trip,pos
Do not buy this if you plan to use it with a screen protector.,neg
I couldn't live with out this,pos
Costs $10 plus shipping - go to Radio Shack instead,neg
Something everyone should have while traveling!,pos
Does not fit the phone.,neg
Excellent value and very well engineered,pos
A major flaw!!!,neg
"Life saver, one of my favorites",pos
combo rapid car charger,neg
Great battery back,pos
It sucks,neg
Just what I needed,pos
Okay,neg
Weekend Warrior,pos
Didn't work.,neg
"The NT70T, The Right Charger for the Job",pos
Piece of CRAP!!!,neg
Rock Solid Portable Charging Device,pos
Doesn't play well,neg
works for all my needs,pos
Damaged,neg
REALLY nice to have the cable built-in!,pos
Very poor quality,neg
Confessions of an iAccessory Addict,pos
CASE STAND  COVER,neg
Great Upgrade,pos
Piece of junk!,neg
Works flawlessly,pos
The product does no fit the iPhone 4s.,neg
Saved my iPhone 4S from dying on long work/school days,pos
Needs some work,neg
This is a high performance power bank ...,pos
Could of been good but...,neg
Outstanding!,pos
It wasn't what I order!,neg
Super Thin! Very Strong and Plenty of Juice for your devices.,pos
"Great in theory, but makes phone unusable during a call",neg
Probably the best Battery Pack for the price (along with others by New Trent),pos
No good,neg
This is a great battery extender!,pos
does not work,neg
What else could I ask for?!,pos
This unit fried my Samsung Galaxy Note,neg
Highly Recommended!,pos
DEAD after having for 6 months,neg
Excellent Portable Battery with one flaw,pos
Didn't work,neg
amazing product!,pos
"HTC should know better than too put such low yeild battery,",neg
Still Strong After a year of travel,pos
They don't work,neg
Perfect balance of charging capacity and price,pos
NOT AS ADVERTISED!,neg
A great battery,pos
crap,neg
Life saver,pos
Works,neg
Just what i needed,pos
Second port doesn't seem to work,neg
"Good product, great customer support",pos
Did not work,neg
IMP70D External Battery - Best in Class!,pos
http://www.amazon.com/gp/product/B005Y0J1Z6/ref=cm_cr_ryp_prd_ttl_sol_51,neg
Awesome battery pack.,pos
Complicated,neg
THRILLED! PERFECT with a Micro USB charging cord built in as well as a USB input cord built in (and both tuck in for sleek use!),pos
DO NOT BUY,neg
Practical and Fast Charger  !!,pos
Not the same item in picture.,neg
great product and portability,pos
Looks great for about a week...,neg
"Affordable, dependable and long lasting.",pos
Awful,neg
Fantastic Battery Pack,pos
Worthless brick.,neg
Perfect power,pos
cheap too,neg
Mobile devices just don't have enough juice ... until now!,pos
Crap,neg
My husband loves the convenience of this product,pos
Blue 3-piece Snap on Hard Case,neg
&#1593;&#1580;&#1610;&#1576;,pos
Total Garbage,neg
"Great, portable, and effective.",pos
Doesn't fit!,neg
Great for Cell Phones,pos
not good,neg
"Three Reasons to Like: High Storage Capacity, Built-in Connector Cables, Two USB Output Ports",pos
Not a Strong Case...,neg
Satisfied!,pos
Piece of crap!,neg
Handy device for charging on the go.,pos
looks better than it feels,neg
Pocket Rocket,pos
Doesn't work properly!,neg
"Well constructed, easy to operate and good capacity",pos
As bad as the old battery,neg
Big time stamina,pos
Noisy,neg
The most power of any battery pack,pos
Bad Bad Product,neg
So good that I bought two!,pos
Ehhhh,neg
"Once again, New Trent delivers!",pos
White cover,neg
This is  must have!!,pos
It was broken,neg
Guys you should know anything trent it must be good,pos
Not what I expected,neg
Sleek and Portable,pos
it fades so quicly,neg
great battery and customer service,pos
Incompatible with nexus 5,neg
Very portable.,pos
doesnt work!,neg
Excellent Product,pos
Worked great for a few weeks then right after 30 day limit.......dead,neg
"Great item, lots of capacity and very pocket friendly",pos
Samsung Phones beware,neg
Great combo of size and power,pos
Not for Galaxy S3 4G,neg
Awesome Design works great!!,pos
broke,neg
Exactly what I was looking for,pos
Doesn't work!!,neg
Great light weight power source,pos
This product do not fit the air vent of my car Toyota Matrix.,neg
Awesome battery pack,pos
doesn't work on new car vents!,neg
Fantastic price and performance,pos
Didn't last,neg
Great battery pack on the go!,pos
very flimsy!,neg
Goodbye Cables,pos
Low quality product,neg
Two is better than one,pos
Broke apart during first use when trying to unplug it.,neg
Solid performer in a great form factor,pos
Doesn't work for Samsung Galaxy two!,neg
Never leave home without it!!!,pos
bought for nothing,neg
External battery saved the day,pos
would not stay on phone,neg
A life-saver for those who use their mobile device often (and who doesn't?),pos
Not the one in the picture doestnt fit,neg
"Perfect little battery pack, I LOVE it",pos
Terrible quality,neg
This is it,pos
Thumbs down...,neg
New Trent Easypak NT70T 7000mAh External Battery Pack and Charger,pos
"Bulky, an it doesn't works",neg
"Works great, charges 2100 mah Android at least twice.",pos
Poor performer,neg
Review of New Trent NT70T EasyPack 7000 mAh external battery,pos
"If you didnt look at what people say, dont - just move to another battery for your own good",neg
Great product,pos
Just not good,neg
Good Protection,pos
Didn't last very long,neg
The best case for your E71 or E71x,pos
Sadly for this price point I would look for another cover ---,neg
OtterBox case is perfect,pos
You get what you pay for!,neg
Good Item For the Money,pos
it does the job,neg
I love it,pos
Embarassing!!,neg
"Great product from Wilson, as usual.",pos
Waste of money,neg
Fast at last,pos
IT SMELLS!!,neg
Worked wonders,pos
Bad,neg
Works great with my 4G Clear Express Hub!,pos
Not worth it,neg
nice quality as usual as Wilson made,pos
Didn't charge even at full sun,neg
20 miles,pos
Recevied an email from them...without any information,neg
High quality,pos
Claims to be able to charge two cell phones but can't even charge 1 mp3 player beyond 15%,neg
Better than Aliph Jawbone!,pos
Who to blame?,neg
"Great headset, great value",pos
IT IS SOOOO UNWORK,neg
Great headset!,pos
Absolutely worthless,neg
Well-made and compact,pos
I can't figure out how this thing works,neg
Good quality for the money,pos
Didn't even work.,neg
Useful item to have,pos
AIR BUBBLES PREVAIL,neg
"Very Handy, but flimsy",pos
i was given the wrong parts,neg
Watch Out,pos
Proximity Meter still dosen't work.,neg
Love this,pos
tried 3.  All have bad proximity sensor,neg
Great,pos
Did not charge,neg
Why did I not buy this 2 years back?,pos
Can barely handle its own spamware,neg
The anywhere charger.,pos
Not a Happy Customer,neg
Always a charged battery,pos
PEOPLE EXPERIENCING TEXTING FAILURES WITH THE PHONE - TMOB ACKNOWLEDGES ISSUE,neg
Great Blackberry battery backup option,pos
DEFECT,neg
A very handy accessory,pos
This thing is not worth $200 read for details,neg
the best for bb,pos
I didn't even get to activate it yet!,neg
head phones,pos
"Horrible Phone - Freezes, Crashes, Low Ram",neg
MUCH better than headset included with new Torch UPDATE Jan 2012,pos
badddd,neg
Awesome sound!,pos
Case is loose and falls off. It's a really poor design.,neg
"Great, But Software Version Not Disclosed In Description",pos
Hat it,neg
Headset,pos
Poor Quality,neg
Just AMAZING,pos
"""Cheap"" is an accurate description",neg
Works fine and right price :)),pos
razr doesnt fit,neg
Wall Travel Charger,pos
Flimsy and can't be used with a case.,neg
Premium Wall Travel Charger for Apple iphone,pos
Does not function as advertised.,neg
Exelent for the price,pos
Doesn't work with either of my andriod devices.,neg
Excellent travel charger,pos
Simply Doesn't work,neg
Works As Advertised,pos
I'm not sure this product is necessary,neg
Works with my 3GS 16GB,pos
Very disappointing.,neg
works great,pos
Don't buy,neg
"When they say sturdy, they mean it.",pos
do not get it,neg
Cherry blossom phone cover for 3G,pos
YUK!!!,neg
my all time fav case,pos
"Wow, How overpriced this product is.",neg
I love it.,pos
stay away from this one.,neg
great item!,pos
"Too stiff, too bulky",neg
More expensive isn't always better,pos
Dont waste your money,neg
Easy to use,pos
Cheap!,neg
Works right out of the box,pos
Has not come,neg
great screen protector,pos
2 deffective phones and counting....good customer service though :),neg
Easy to apply and works great.,pos
CAME BROKEN,neg
Read directions people!,pos
Too many issues and compromises.,neg
these tools didnt break like some people say on these comments.,pos
Honest review of an over-hyped phone,neg
THE BEST TOOLS FOR THE JOB,pos
"DO NOT BUY - Serious network connectivity issues - bought two for only 1 cent ea, and will be returning",neg
right tool for the job,pos
Sadly returned it for a different phone.,neg
Perfect!,pos
"Trash, don't waste your money. Trash",neg
Worked perfect,pos
makes phone too hot to touch I burned my hand,neg
Just as described,pos
Disappointing,neg
what do you think?,pos
Seriously awful,neg
Five Stars,pos
Worst screen protectors ever!,neg
GS,pos
SUPER CHEAP,neg
Nice,pos
Not as described.,neg
Perfect Tools For The Job,pos
item,neg
Works like a charm,pos
THIS BATTERY IS NOT COMPATIBLE WITH YOUR 3GS!,neg
GTMAX,pos
not what i expected,neg
Touch screen stylus pens,pos
Don't buy if you want to take flash photos,neg
Grrrrrrreat!,pos
Charged 3 times and failed,neg
these pens only work on iphone,pos
Don't Waste Your Money.,neg
Amesome for the price,pos
Too bulky,neg
Stylus,pos
"Wrong size, camera in wrong place, just wrong",neg
Very low profile car charger,pos
rubber does not stand the test of time,neg
Awesome charger for the EVO 4G,pos
not good.,neg
This one charges my HTC EVO 4G,pos
One Star,neg
It works for the Droid X!,pos
cheap,neg
Perfect,pos
Cheap knock-off and NOT as described,neg
Great,pos
TOO SMALL,neg
Great little case,pos
Much too small for Iohone 4s,neg
Protects Naked iPhone 4s,pos
Case,neg
One good case,pos
Is this a USED battery being sold as NEW?,neg
Seller is superb,pos
Not worth the cheap price,neg
Great looking nice horizontal case for iPhone 3GS,pos
It Murdered My Razr,neg
good product,pos
Sucks for the Motorola Droid 4,neg
works well,pos
Great stylus -- but pen died.,neg
Travel Car Charger Adaptor,pos
Ok Stylus With Exploding Ink; Don't Buy,neg
perfect,pos
Returned,neg
"Great, cheap travel charger",pos
Bad quality. Keep looking,neg
Works as Advertised,pos
this thing's a piece of junk,neg
good quality,pos
cheap is cheap,neg
Phone case,pos
Not good at all,neg
Okay Case For Price,pos
Very Disappointed,neg
Looks Lovely & great price,pos
Not that I hate it,neg
I'm surprised!,pos
"Phone doesn't fit securely, waste of money",neg
Nice and resistant!,pos
"Not durable, very upset :(",neg
Great for the price,pos
Not Recommended,neg
Works as promised,pos
poor,neg
Buy it now...,pos
One Star,neg
Decent,pos
I hate it,neg
Fast,pos
Rainbow effect,neg
Car Charger,pos
Poor Quality,neg
Super Product!!!,pos
Not even worth even 5 bucks,neg
Perfectly fine charger,pos
Manufacturing has stopped until they can get it to work,neg
item,pos
"Doesn't work, plain and simple.",neg
case/wallet,pos
Terrible product with even worse customer service,neg
Wallet,pos
biggest piece of junk - a recall should be issued,neg
Leather case cover,pos
Bad design,neg
Perfect replacement,pos
RUBBER COVER FELL OFF WITHIN THE FIRST WEEK OF USE!,neg
Fits and sturdy enough,pos
Garbage,neg
Good,pos
crap,neg
"Great price, great value.",pos
It was a poor choice for me,neg
:),pos
Ridiculous and absurd installation,neg
Works well charging two phones at once,pos
I never even use this,neg
Charger,pos
Phone is not easily accessible,neg
great,pos
Poor Quaility......,neg
PERFECT!,pos
Ugh,neg
Good stuff!,pos
WAY too big and bulky,neg
great investment,pos
Dont put all your investment on 1 large unit. BUY SMALLER,neg
Does the job at a great price!,pos
Getting tired of unreliable electronics like this,neg
"Does the job, seems well made...",pos
Wrong Design,neg
Works...,pos
Don't Buy This Phone Holder if You Value Your Phone,neg
Works well,pos
Poor,neg
I wouldn't say that I love it,pos
Short Honeymoon,neg
Works well enough.,pos
Horrible,neg
Great USB charger,pos
Doesn't really work,neg
Works well and practical.,pos
Maybe if you live where its cold.,neg
Works perfectly with my iPhone 3G. No problems.,pos
Junk,neg
Fantastic Charger,pos
Bad design,neg
good unit for the price,pos
lame,neg
AC to Dual Port USB Wall charger,pos
Great for use with Galaxy Nexus and Nexus 4 UPDATE 1/23/13 I CAN NO LONGER RECOMMEND!!,neg
Good quality,pos
HORRIBLE!!! WASTE OF MONEY!,neg
Works for this hardy traveller,pos
WILL NOT STAY IN PLACE FALLS OFF,neg
Works fine,pos
windshield dashboard car mount holder,neg
Words great,pos
HORRIBLE WASTE OF MONEY,neg
IPhone car charger,pos
"Very sticky, very stable but...",neg
perfect,pos
Garbage....,neg
good product,pos
Terrible,neg
THE MISSING LINK,pos
Not as stated,neg
So good I got two!,pos
Cell phone mount,neg
My favorite battery!,pos
Worthless,neg
"Nice case, Pre is happy!",pos
Terrible,neg
Slim protection for your Pre,pos
Biggest disappointment after 4 replacements.,neg
Great Case,pos
Don't waste your time or money!,neg
Very Good Case Speck Candy Shell,pos
"Cheap not working product , don't waste your time !",neg
Speck Products CandyShell Case for iPhone 3G/3GS - Black/Gray,pos
Bad manufacturing flaw,neg
CASE IS GREAT,pos
White frame on the outer part of the pixels on LCD,neg
"Great Looks & Protection, Compared to Other Cases",pos
Dont Buy,neg
Good Protection but Shows Scratches Badly (black),pos
Nada,neg
Replacement case for my Iphone3G,pos
Waste of $$$,neg
Speck Candyshell should be the standard!,pos
A Poor Product With A Weak Design,neg
Does what it says,pos
TERRIBLE,neg
Five Stars,pos
Cases,neg
Good Case,pos
Not worth the wait,neg
GreaT!,pos
Clear case dirty,neg
for my wife,pos
Still  waiting,neg
A+,pos
Bad,neg
It work for what I used it for.,pos
Horrendous,neg
Sim card that works - period!,pos
horrible,neg
GREAT,pos
does not fit my phone,neg
Works As Advertised,pos
hate it,neg
Great as advertised,pos
bumper case???,neg
Works,pos
Poor quality,neg
about the sim card t mobile,pos
Turns an aweful color,neg
"Works fine, can be chopped to micro-sim size.",pos
Broke,neg
perfect,pos
Turns yellow,neg
They work,pos
Wont Charge and Headset wont stay in.....,neg
Sim Card,pos
ok,neg
Great Product,pos
Save your money,neg
Great for iPhone,pos
Don't buy,neg
used it with an unlocked phone to get a new line,pos
"Looked good at first, turns a nasty yellow in about a week.",neg
beats $25 at some dealers,pos
Does not fit the phone,neg
Just as Described,pos
phone not really unlocked,neg
Great purchase,pos
posted as new item and was far from it.,neg
works great,pos
not worth it,neg
works great!,pos
Looks Terrible,neg
"sim worked, and painlessly",pos
Bad idea,neg
exelent,pos
Shooting Stars Flexible TPU Case,neg
"5 stars for the seller and merch, not the service",pos
Seller quorum,neg
works great,pos
miss leading AD,neg
Just worked!,pos
Doesn't work at all.,neg
FINALLY!!!,pos
"great idea, poor quality battery",neg
"Great skin, hard to beat the price.",pos
"Increasing problems, no resolution from HTC, this phone IS A DUD",neg
Great price,pos
So unhappy,neg
Exactly as expected,pos
Poor quality,neg
Fits like a glove!,pos
glitter problem,neg
Great!,pos
Not happy,neg
Body glove,pos
white and black part peels,neg
"A great buy, Fits like a glove..",pos
Eh!,neg
Nice Case,pos
Eh.,neg
Battery,pos
Do NOT purchase these earbuds!,neg
Great Battery,pos
Under Engineered Disappointment,neg
